G1 Model,G2 Reference Model,Family,Stages,Motor kW,Motor HP,Connection,Full Impellers,Small Impellers,Smallest Impellers
CHC 1-1,CHC 1-10,CHC 1,1,0.37,0.5,DN32 (G1¼),1,0,0
CHC 1-2,CHC 1-20,CHC 1,2,0.37,0.5,DN32 (G1¼),2,0,0
CHC 1-3,CHC 1-30,CHC 1,3,0.37,0.5,DN32 (G1¼),3,0,0
CHC 1-4,CHC 1-40,CHC 1,4,0.37,0.5,DN32 (G1¼),4,0,0
CHC 1-5,CHC 1-50,CHC 1,5,0.37,0.5,DN32 (G1¼),5,0,0
CHC 1-6,CHC 1-60,CHC 1,6,0.37,0.5,DN32 (G1¼),6,0,0
CHC 1-7,CHC 1-70,CHC 1,7,0.37,0.5,DN32 (G1¼),7,0,0
CHC 1-8,CHC 1-80,CHC 1,8,0.55,0.75,DN32 (G1¼),8,0,0
CHC 1-9,CHC 1-90,CHC 1,9,0.55,0.75,DN32 (G1¼),9,0,0
CHC 1-10,CHC 1-100,CHC 1,10,0.55,0.75,DN32 (G1¼),10,0,0
CHC 1-11,CHC 1-110,CHC 1,11,0.55,0.75,DN32 (G1¼),11,0,0
CHC 1-12,CHC 1-120,CHC 1,12,0.75,1,DN32 (G1¼),12,0,0
CHC 1-13,CHC 1-130,CHC 1,13,0.75,1,DN32 (G1¼),13,0,0
CHC 1-14,CHC 1-140,CHC 1,14,0.75,1,DN32 (G1¼),14,0,0
CHC 1-15,CHC 1-150,CHC 1,15,0.75,1,DN32 (G1¼),15,0,0
CHC 1-16,CHC 1-160,CHC 1,16,1.1,1.5,DN32 (G1¼),16,0,0
CHC 1-17,CHC 1-170,CHC 1,17,1.1,1.5,DN32 (G1¼),17,0,0
CHC 1-18,CHC 1-180,CHC 1,18,1.1,1.5,DN32 (G1¼),18,0,0
CHC 1-19,CHC 1-190,CHC 1,19,1.1,1.5,DN32 (G1¼),19,0,0
CHC 1-20,CHC 1-200,CHC 1,20,1.1,1.5,DN32 (G1¼),20,0,0
CHC 1-21,CHC 1-210,CHC 1,21,1.1,1.5,DN32 (G1¼),21,0,0
CHC 1-22,CHC 1-220,CHC 1,22,1.1,1.5,DN32 (G1¼),22,0,0
CHC 1-23,CHC 1-230,CHC 1,23,1.1,1.5,DN32 (G1¼),23,0,0
CHC 1-24,CHC 1-240,CHC 1,24,1.5,2,DN32,24,0,0
CHC 1-25,CHC 1-250,CHC 1,25,1.5,2,DN32,25,0,0
CHC 1-26,CHC 1-260,CHC 1,26,1.5,2,DN32,26,0,0
CHC 1-27,CHC 1-270,CHC 1,27,1.5,2,DN32,27,0,0
CHC 1-28,CHC 1-280,CHC 1,28,1.5,2,DN32,28,0,0
CHC 1-29,CHC 1-290,CHC 1,29,1.5,2,DN32,29,0,0
CHC 1-30,CHC 1-300,CHC 1,30,1.5,2,DN32,30,0,0
CHC 1-31,CHC 1-310,CHC 1,31,2.2,3,DN32,31,0,0
CHC 1-32,CHC 1-320,CHC 1,32,2.2,3,DN32,32,0,0
CHC 1-33,CHC 1-330,CHC 1,33,2.2,3,DN32,33,0,0
CHC 1-34,CHC 1-340,CHC 1,34,2.2,3,DN32,34,0,0
CHC 1-35,CHC 1-350,CHC 1,35,2.2,3,DN32,35,0,0
CHC 1-36,CHC 1-360,CHC 1,36,2.2,3,DN32,36,0,0
CHC 2-1,CHC 2-10,CHC 2,1,0.37,0.5,DN32 (G1¼),1,0,0
CHC 2-2,CHC 2-20,CHC 2,2,0.37,0.5,DN32 (G1¼),2,0,0
CHC 2-3,CHC 2-30,CHC 2,3,0.37,0.5,DN32 (G1¼),3,0,0
CHC 2-4,CHC 2-40,CHC 2,4,0.55,0.75,DN32 (G1¼),4,0,0
CHC 2-5,CHC 2-50,CHC 2,5,0.55,0.75,DN32 (G1¼),5,0,0
CHC 2-6,CHC 2-60,CHC 2,6,0.75,1,DN32 (G1¼),6,0,0
CHC 2-7,CHC 2-70,CHC 2,7,0.75,1,DN32 (G1¼),7,0,0
CHC 2-8,CHC 2-80,CHC 2,8,1.1,1.5,DN32 (G1¼),8,0,0
CHC 2-9,CHC 2-90,CHC 2,9,1.1,1.5,DN32 (G1¼),9,0,0
CHC 2-10,CHC 2-100,CHC 2,10,1.1,1.5,DN32 (G1¼),10,0,0
CHC 2-11,CHC 2-110,CHC 2,11,1.1,1.5,DN32 (G1¼),11,0,0
CHC 2-12,CHC 2-120,CHC 2,12,1.5,2,DN32 (G1¼),12,0,0
CHC 2-13,CHC 2-130,CHC 2,13,1.5,2,DN32 (G1¼),13,0,0
CHC 2-14,CHC 2-140,CHC 2,14,1.5,2,DN32,14,0,0
CHC 2-15,CHC 2-150,CHC 2,15,1.5,2,DN32,15,0,0
CHC 2-16,CHC 2-160,CHC 2,16,2.2,3,DN32,16,0,0
CHC 2-17,CHC 2-170,CHC 2,17,2.2,3,DN32,17,0,0
CHC 2-18,CHC 2-180,CHC 2,18,2.2,3,DN32,18,0,0
CHC 2-19,CHC 2-190,CHC 2,19,2.2,3,DN32,19,0,0
CHC 2-20,CHC 2-200,CHC 2,20,2.2,3,DN32,20,0,0
CHC 2-21,CHC 2-210,CHC 2,21,2.2,3,DN32,21,0,0
CHC 2-22,CHC 2-220,CHC 2,22,2.2,3,DN32,22,0,0
CHC 2-23,CHC 2-230,CHC 2,23,3,4,DN32,23,0,0
CHC 2-24,CHC 2-240,CHC 2,24,3,4,DN32,24,0,0
CHC 2-25,CHC 2-250,CHC 2,25,3,4,DN32,25,0,0
CHC 2-26,CHC 2-260,CHC 2,26,3,4,DN32,26,0,0
CHC 3-1,CHC 3-10,CHC 3,1,0.37,0.5,DN32 (G1¼),1,0,0
CHC 3-2,CHC 3-20,CHC 3,2,0.37,0.5,DN32 (G1¼),2,0,0
CHC 3-3,CHC 3-30,CHC 3,3,0.37,0.5,DN32 (G1¼),3,0,0
CHC 3-4,CHC 3-40,CHC 3,4,0.37,0.5,DN32 (G1¼),4,0,0
CHC 3-5,CHC 3-50,CHC 3,5,0.37,0.5,DN32 (G1¼),5,0,0
CHC 3-6,CHC 3-60,CHC 3,6,0.55,0.75,DN32 (G1¼),6,0,0
CHC 3-7,CHC 3-70,CHC 3,7,0.55,0.75,DN32 (G1¼),7,0,0
CHC 3-8,CHC 3-80,CHC 3,8,0.75,1,DN32 (G1¼),8,0,0
CHC 3-9,CHC 3-90,CHC 3,9,0.75,1,DN32 (G1¼),9,0,0
CHC 3-10,CHC 3-100,CHC 3,10,0.75,1,DN32 (G1¼),10,0,0
CHC 3-11,CHC 3-110,CHC 3,11,1.1,1.5,DN32 (G1¼),11,0,0
CHC 3-12,CHC 3-120,CHC 3,12,1.1,1.5,DN32 (G1¼),12,0,0
CHC 3-13,CHC 3-130,CHC 3,13,1.1,1.5,DN32 (G1¼),13,0,0
CHC 3-14,CHC 3-140,CHC 3,14,1.1,1.5,DN32 (G1¼),14,0,0
CHC 3-15,CHC 3-150,CHC 3,15,1.1,1.5,DN32 (G1¼),15,0,0
CHC 3-16,CHC 3-160,CHC 3,16,1.5,2,DN32 (G1¼),16,0,0
CHC 3-17,CHC 3-170,CHC 3,17,1.5,2,DN32 (G1¼),17,0,0
CHC 3-18,CHC 3-180,CHC 3,18,1.5,2,DN32 (G1¼),18,0,0
CHC 3-19,CHC 3-190,CHC 3,19,1.5,2,DN32 (G1¼),19,0,0
CHC 3-20,CHC 3-200,CHC 3,20,2.2,3,DN32 (G1¼),20,0,0
CHC 3-21,CHC 3-210,CHC 3,21,2.2,3,DN32 (G1¼),21,0,0
CHC 3-22,CHC 3-220,CHC 3,22,2.2,3,DN32 (G1¼),22,0,0
CHC 3-23,CHC 3-230,CHC 3,23,2.2,3,DN32 (G1¼),23,0,0
CHC 3-24,CHC 3-240,CHC 3,24,2.2,3,DN32,24,0,0
CHC 3-25,CHC 3-250,CHC 3,25,2.2,3,DN32,25,0,0
CHC 3-26,CHC 3-260,CHC 3,26,2.2,3,DN32,26,0,0
CHC 3-27,CHC 3-270,CHC 3,27,2.2,3,DN32,27,0,0
CHC 3-28,CHC 3-280,CHC 3,28,2.2,3,DN32,28,0,0
CHC 3-29,CHC 3-290,CHC 3,29,2.2,3,DN32,29,0,0
CHC 3-30,CHC 3-300,CHC 3,30,3,4,DN32,30,0,0
CHC 3-31,CHC 3-310,CHC 3,31,3,4,DN32,31,0,0
CHC 3-32,CHC 3-320,CHC 3,32,3,4,DN32,32,0,0
CHC 3-33,CHC 3-330,CHC 3,33,3,4,DN32,33,0,0
CHC 3-34,CHC 3-340,CHC 3,34,3,4,DN32,34,0,0
CHC 3-35,CHC 3-350,CHC 3,35,3,4,DN32,35,0,0
CHC 3-36,CHC 3-360,CHC 3,36,3,4,DN32,36,0,0
CHC 4-1,CHC 4-10,CHC 4,1,0.37,0.5,DN32 (G1¼),1,0,0
CHC 4-2,CHC 4-20,CHC 4,2,0.37,0.5,DN32 (G1¼),2,0,0
CHC 4-3,CHC 4-30,CHC 4,3,0.55,0.75,DN32 (G1¼),3,0,0
CHC 4-4,CHC 4-40,CHC 4,4,0.75,1,DN32 (G1¼),4,0,0
CHC 4-5,CHC 4-50,CHC 4,5,1.1,1.5,DN32 (G1¼),5,0,0
CHC 4-6,CHC 4-60,CHC 4,6,1.1,1.5,DN32 (G1¼),6,0,0
CHC 4-7,CHC 4-70,CHC 4,7,1.5,2,DN32 (G1¼),7,0,0
CHC 4-8,CHC 4-80,CHC 4,8,1.5,2,DN32 (G1¼),8,0,0
CHC 4-9,CHC 4-90,CHC 4,9,2.2,3,DN32 (G1¼),9,0,0
CHC 4-10,CHC 4-100,CHC 4,10,2.2,3,DN32 (G1¼),10,0,0
CHC 4-11,CHC 4-110,CHC 4,11,2.2,3,DN32 (G1¼),11,0,0
CHC 4-12,CHC 4-120,CHC 4,12,2.2,3,DN32 (G1¼),12,0,0
CHC 4-13,CHC 4-130,CHC 4,13,3,4,DN32 (G1¼),13,0,0
CHC 4-14,CHC 4-140,CHC 4,14,3,4,DN32 (G1¼),14,0,0
CHC 4-15,CHC 4-150,CHC 4,15,3,4,DN32,15,0,0
CHC 4-16,CHC 4-160,CHC 4,16,3,4,DN32,16,0,0
CHC 4-17,CHC 4-170,CHC 4,17,4,5.5,DN32,17,0,0
CHC 4-18,CHC 4-180,CHC 4,18,4,5.5,DN32,18,0,0
CHC 4-19,CHC 4-190,CHC 4,19,4,5.5,DN32,19,0,0
CHC 4-20,CHC 4-200,CHC 4,20,4,5.5,DN32,20,0,0
CHC 4-21,CHC 4-210,CHC 4,21,4,5.5,DN32,21,0,0
CHC 4-22,CHC 4-220,CHC 4,22,4,5.5,DN32,22,0,0
CHC 5-1,CHC 5-10,CHC 5,1,0.37,0.5,DN32 (G1¼),1,0,0
CHC 5-2,CHC 5-20,CHC 5,2,0.37,0.5,DN32 (G1¼),2,0,0
CHC 5-3,CHC 5-30,CHC 5,3,0.55,0.75,DN32 (G1¼),3,0,0
CHC 5-4,CHC 5-40,CHC 5,4,0.55,0.75,DN32 (G1¼),4,0,0
CHC 5-5,CHC 5-50,CHC 5,5,0.75,1,DN32 (G1¼),5,0,0
CHC 5-6,CHC 5-60,CHC 5,6,1.1,1.5,DN32 (G1¼),6,0,0
CHC 5-7,CHC 5-70,CHC 5,7,1.1,1.5,DN32 (G1¼),7,0,0
CHC 5-8,CHC 5-80,CHC 5,8,1.1,1.5,DN32 (G1¼),8,0,0
CHC 5-9,CHC 5-90,CHC 5,9,1.5,2,DN32 (G1¼),9,0,0
CHC 5-10,CHC 5-100,CHC 5,10,1.5,2,DN32 (G1¼),10,0,0
CHC 5-11,CHC 5-110,CHC 5,11,2.2,3,DN32 (G1¼),11,0,0
CHC 5-12,CHC 5-120,CHC 5,12,2.2,3,DN32 (G1¼),12,0,0
CHC 5-13,CHC 5-130,CHC 5,13,2.2,3,DN32 (G1¼),13,0,0
CHC 5-14,CHC 5-140,CHC 5,14,2.2,3,DN32 (G1¼),14,0,0
CHC 5-15,CHC 5-150,CHC 5,15,2.2,3,DN32 (G1¼),15,0,0
CHC 5-16,CHC 5-160,CHC 5,16,2.2,3,DN32 (G1¼),16,0,0
CHC 5-17,CHC 5-170,CHC 5,17,3,4,DN32 (G1¼),17,0,0
CHC 5-18,CHC 5-180,CHC 5,18,3,4,DN32 (G1¼),18,0,0
CHC 5-19,CHC 5-190,CHC 5,19,3,4,DN32 (G1¼),19,0,0
CHC 5-20,CHC 5-200,CHC 5,20,3,4,DN32 (G1¼),20,0,0
CHC 5-21,CHC 5-210,CHC 5,21,4,5.5,DN32 (G1¼),21,0,0
CHC 5-22,CHC 5-220,CHC 5,22,4,5.5,DN32 (G1¼),22,0,0
CHC 5-23,CHC 5-230,CHC 5,23,4,5.5,DN32,23,0,0
CHC 5-24,CHC 5-240,CHC 5,24,4,5.5,DN32,24,0,0
CHC 5-25,CHC 5-250,CHC 5,25,4,5.5,DN32,25,0,0
CHC 5-26,CHC 5-260,CHC 5,26,4,5.5,DN32,26,0,0
CHC 5-27,CHC 5-270,CHC 5,27,4,5.5,DN32,27,0,0
CHC 5-28,CHC 5-280,CHC 5,28,4,5.5,DN32,28,0,0
CHC 5-29,CHC 5-290,CHC 5,29,4,5.5,DN32,29,0,0
CHC 5-30,CHC 5-300,CHC 5,30,5.5,7.5,DN32,30,0,0
CHC 5-31,CHC 5-310,CHC 5,31,5.5,7.5,DN32,31,0,0
CHC 5-32,CHC 5-320,CHC 5,32,5.5,7.5,DN32,32,0,0
CHC 5-33,CHC 5-330,CHC 5,33,5.5,7.5,DN32,33,0,0
CHC 5-34,CHC 5-340,CHC 5,34,5.5,7.5,DN32,34,0,0
CHC 5-35,CHC 5-350,CHC 5,35,5.5,7.5,DN32,35,0,0
CHC 5-36,CHC 5-360,CHC 5,36,5.5,7.5,DN32,36,0,0
CHC 8-1,CHC 8-10,CHC 8,1,0.37,0.5,DN40 (G1½),1,0,0
CHC 8-2,CHC 8-20,CHC 8,2,0.75,1,DN40 (G1½),2,0,0
CHC 8-3,CHC 8-30,CHC 8,3,1.1,1.5,DN40 (G1½),3,0,0
CHC 8-4,CHC 8-40,CHC 8,4,1.5,2,DN40 (G1½),4,0,0
CHC 8-5,CHC 8-50,CHC 8,5,2.2,3,DN40 (G1½),5,0,0
CHC 8-6,CHC 8-60,CHC 8,6,2.2,3,DN40 (G1½),6,0,0
CHC 8-7,CHC 8-70,CHC 8,7,3,4,DN40 (G1½),7,0,0
CHC 8-8,CHC 8-80,CHC 8,8,3,4,DN40 (G1½),8,0,0
CHC 8-9,CHC 8-90,CHC 8,9,3,4,DN40 (G1½),9,0,0
CHC 8-10,CHC 8-100,CHC 8,10,4,5.5,DN40 (G1½),10,0,0
CHC 8-11,CHC 8-110,CHC 8,11,4,5.5,DN40 (G1½),11,0,0
CHC 8-12,CHC 8-120,CHC 8,12,4,5.5,DN40 (G1½),12,0,0
CHC 8-13,CHC 8-130,CHC 8,13,5.5,7.5,DN40,13,0,0
CHC 8-14,CHC 8-140,CHC 8,14,5.5,7.5,DN40,14,0,0
CHC 8-15,CHC 8-150,CHC 8,15,5.5,7.5,DN40,15,0,0
CHC 8-16,CHC 8-160,CHC 8,16,5.5,7.5,DN40,16,0,0
CHC 8-17,CHC 8-170,CHC 8,17,7.5,10,DN40,17,0,0
CHC 8-18,CHC 8-180,CHC 8,18,7.5,10,DN40,18,0,0
CHC 8-19,CHC 8-190,CHC 8,19,7.5,10,DN40,19,0,0
CHC 8-20,CHC 8-200,CHC 8,20,7.5,10,DN40,20,0,0
CHC 8-21,CHC 8-210,CHC 8,21,7.5,10,DN40,21,0,0
CHC 8-22,CHC 8-220,CHC 8,22,7.5,10,DN40,22,0,0
CHC 10-1,CHC 10-10,CHC 10,1,0.37,0.5,DN40 (G1½),1,0,0
CHC 10-2,CHC 10-20,CHC 10,2,0.75,1,DN40 (G1½),2,0,0
CHC 10-3,CHC 10-30,CHC 10,3,1.1,1.5,DN40 (G1½),3,0,0
CHC 10-4,CHC 10-40,CHC 10,4,1.5,2,DN40 (G1½),4,0,0
