Family,Variant,Pump L,Pump W
CHC 1,CHC,250,210
CHC 1,CHCS,250,210
CHC 1,CHCN,250,210
CHC 2,CHC,250,210
CHC 2,CHCS,250,210
CHC 2,CHCN,250,210
CHC 3,CHC,250,210
CHC 3,CHCS,250,210
CHC 3,CHCN,250,210
CHC 4,CHC,250,210
CHC 4,CHCS,250,210
CHC 4,CHCN,250,210
CHC 5,CHC,250,210
CHC 5,CHCS,250,210
CHC 5,CHCN,250,210
CHC 8,CHC,280,256
CHC 8,CHCS,280,248
CHC 8,CHCN,280,248
CHC 10,CHC,280,256
CHC 10,CHCS,280,248
CHC 10,CHCN,280,248
CHC 12,CHC,300,247
CHC 12,CHCS,300,247
CHC 12,CHCN,300,247
CHC 15,CHC,300,256
CHC 15,CHCS,300,248
CHC 15,CHCN,300,248
CHC 16,CHC,300,256
CHC 16,CHCS,300,248
CHC 16,CHCN,300,248
CHC 20,CHC,300,256
CHC 20,CHCS,300,248
CHC 20,CHCN,300,248
CHC 32,CHC,320,298
CHC 32,CHCS,320,298
CHC 32,CHCN,320,298
CHC 45,CHC,365,331
CHC 45,CHCS,365,331
CHC 45,CHCN,365,331
CHC 64,CHC,365,331
CHC 64,CHCS,365,331
CHC 64,CHCN,365,331
CHC 90,CHC,365,331
CHC 90,CHCS,365,331
CHC 90,CHCN,365,331
CHC 120,CHC,380,472
CHC 120,CHCS,380,472
CHC 120,CHCN,380,472
CHC 150,CHC,380,472
CHC 150,CHCS,380,472
CHC 150,CHCN,380,472
CHC 200,CHC,490,600
CHC 200,CHCS,490,600
CHC 200,CHCN,490,600
