source_sheet,workbook_row,hp,pole,efficiency,model,model_prefix,description,rpm,amp415_3ph,amp240_1ph,eff100,eff75,pf100,pf75,kg,frame
2Pole IE4,3,0.5,2,IE4,4BM0.5-2,4BM,0.5HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2765.0,0.8200000000000001,2.5,76.5,,0.81,,7.3,71-2
2Pole IE4,4,0.75,2,IE4,4BM0.75-2,4BM,0.75HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2765.0,1.15,3.5,79.9,,0.82,,8.5,71-2
2Pole IE4,5,1.0,2,IE4,4BM1-2,4BM,1HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2875.0,1.49,4.5,83.5,,0.83,,18.0,80-2
2Pole IE4,6,1.5,2,IE4,4BM1.5-2,4BM,1.5HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2885.0,2.13,6.3999999999999995,85.2,,0.83,,19.0,80-2
2Pole IE4,7,2.0,2,IE4,4BM2-2,4BM,2HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2890.0,2.8099999999999996,8.5,86.5,,0.85,,26.0,90S-2
2Pole IE4,8,3.0,2,IE4,4BM3-2,4BM,3HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2895.0,4.0,12.0,88.0,,0.86,,30.0,90L-2
2Pole IE4,9,4.0,2,IE4,4BM4-2,4BM,4HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2900.0,5.35,16.1,89.1,,0.87,,38.0,100L-2
2Pole IE4,10,5.5,2,IE4,4BM5.5-2,4BM,5.5HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2915.0,7.0,21.0,90.0,,0.88,,51.0,112M-2
2Pole IE4,11,7.5,2,IE4,4BM7.5-2,4BM,7.5HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2925.0,9.44,28.3,90.9,,0.88,,73.0,132S-2
2Pole IE4,12,10.0,2,IE4,4BM10-2,4BM,10HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2925.0,12.799999999999999,38.4,91.7,,0.89,,80.0,132S-2
2Pole IE4,13,15.0,2,IE4,4BM15-2,4BM,15HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2940.0,18.5,55.5,92.6,,0.89,,132.0,160M-2
2Pole IE4,14,20.0,2,IE4,4BM20-2,4BM,20HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2940.0,25.1,75.19999999999999,93.3,,0.89,,140.0,160M-2
2Pole IE4,15,25.0,2,IE4,4BM25-2,4BM,25HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2940.0,30.8,92.3,93.7,,0.89,,155.0,160L-2
2Pole IE4,16,30.0,2,IE4,4BM30-2,4BM,30HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2945.0,36.5,109.39999999999999,94.0,,0.89,,195.0,180M-2
2Pole IE4,17,40.0,2,IE4,4BM40-2,4BM,40HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2970.0,49.7,148.9,94.5,,0.89,,256.0,200L-2
2Pole IE4,18,50.0,2,IE4,4BM50-2,4BM,50HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2970.0,61.0,182.7,94.8,,0.89,,285.0,200L-2
2Pole IE4,19,60.0,2,IE4,4BM60-2,4BM,60HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2970.0,74.0,221.7,95.0,,0.89,,345.0,225M-2
2Pole IE4,20,75.0,2,IE4,4BM75-2,4BM,75HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2970.0,90.19999999999999,270.20000000000005,95.3,,0.89,,450.0,250M-2
2Pole IE4,21,100.0,2,IE4,4BM100-2,4BM,100HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2980.0,123.0,368.40000000000003,95.6,,0.89,,588.0,280S-2
2Pole IE4,22,125.0,2,IE4,4BM125-2,4BM,125HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2980.0,147.0,440.3,95.8,,0.89,,660.0,280M-2
2Pole IE4,23,150.0,2,IE4,4BM150-2,4BM,150HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2985.0,180.0,539.2,96.0,,0.89,,960.0,315S-2
2Pole IE4,24,175.0,2,IE4,4BM175-2,4BM,175HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2985.0,216.0,647.0,96.2,,0.89,,1060.0,315M-2
2Pole IE4,25,215.0,2,IE4,4BM215-2,4BM,215HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2985.0,261.0,781.7,96.3,,0.89,,1185.0,315L-2
2Pole IE4,26,250.0,2,IE4,4BM250-2,4BM,250HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2985.0,301.0,901.5,96.5,,0.89,,1320.0,315L-2
2Pole IE4,27,270.0,2,IE4,4BM270-2,4BM,270HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2985.0,326.0,976.4,96.5,,0.89,,1320.0,315L-2
2Pole IE4,28,300.0,2,IE4,4BM300-2,4BM,300HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2990.0,349.0,1045.3,96.5,,0.91,,1870.0,355M-2
2Pole IE4,29,335.0,2,IE4,4BM335-2,4BM,335HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2990.0,397.0,1189.1,96.5,,0.91,,1950.0,355M-2
2Pole IE4,30,375.0,2,IE4,4BM375-2,4BM,375HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2990.0,444.0,1329.8,96.5,,0.91,,2080.0,355L-2
2Pole IE4,31,420.0,2,IE4,4BM420-2,4BM,420HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2990.0,500.0,1497.6,96.5,,0.91,,2100.0,355L-2
2Pole IE4,32,475.0,2,IE4,4BM475-2,4BM,475HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2990.0,562.0,1683.1999999999998,96.5,,0.91,,2220.0,355-2
2Pole IE4,33,500.0,2,IE4,4BM500-2,4BM,500HP 2Pole IE4 Motor (415V / 3Ph / 50Hz),2990.0,600.0,1797.1,96.5,,0.9,,2310.0,355-2
4Pole IE4,3,0.5,4,IE4,4BM0.5-4,4BM,0.5HP 4Pole IE4 Motor (415V / 3Ph / 50Hz),1355.0,0.85,2.6,81.1,,0.74,,8.2,71-4
4Pole IE4,4,0.75,4,IE4,4BM0.75-4,4BM,0.75HP 4Pole IE4 Motor (415V / 3Ph / 50Hz),1425.0,1.24,3.8000000000000003,83.9,,0.74,,18.0,80-4
4Pole IE4,5,1.0,4,IE4,4BM1-4,4BM,1HP 4Pole IE4 Motor (415V / 3Ph / 50Hz),1425.0,1.65,5.0,85.7,,0.74,,20.0,80-4
4Pole IE4,6,1.5,4,IE4,4BM1.5-4,4BM,1.5HP 4Pole IE4 Motor (415V / 3Ph / 50Hz),1430.0,2.34,7.1,87.5,,0.75,,25.0,90S-4
4Pole IE4,7,2.0,4,IE4,4BM2-4,4BM,2HP 4Pole IE4 Motor (415V / 3Ph / 50Hz),1430.0,3.0399999999999996,9.2,88.2,,0.78,,30.0,90L-4
4Pole IE4,8,3.0,4,IE4,4BM3-4,4BM,3HP 4Pole IE4 Motor (415V / 3Ph / 50Hz),1435.0,4.319999999999999,13.0,89.5,,0.79,,38.0,100L-4
4Pole IE4,9,4.0,4,IE4,4BM4-4,4BM,4HP 4Pole IE4 Motor (415V / 3Ph / 50Hz),1440.0,5.779999999999999,17.400000000000002,90.4,,0.8,,42.0,100L-4
